91
Albert, Eddie
Allen, Karen
Allen, Woody
Andrews, Julie
Anspach, Susan
Bancroft, Anne
Beatty, Warren
Bel, Barbara
Berenger, Tom
Beymer, Richard
Biehn, Michael
Black, Karen
Bogart, Humphrey
Brando, Marlon
Burton, Richard
Cathy, Niro
Clift, Montgomery
Curtis, Tony
Dafoe, Willem
De, Robert
Dean, James
Dreyfuss, Richard
Dunaway, Faye
Duvall, Robert
Eastwood, Clint
Fiennes, Ralph
Fisher, Carrie
Fletcher, Louise
Fonda, Peter
Ford, Harrison
Foster, Jodie
Gleason, Jackie
Granger, Farley
Grey, Joel
Guinness, Alec
Hackman, Gene
Harrison, Rex
Henry, Coyote
Hepburn, Audrey
Hepburn, Katharine
Hoffman, Dustin
Holden, William
Hopkins, Anthony
Hopper, Dennis
Howard, Ron
Hunter, Jeffrey
Huston, John
Jodie, Niro
Joe, Moriarty
Keaton, Diane
Kelly, Grace
Kingsley, Ben
Lancaster, Burt
Lange, Jessica
Leigh, Janet
Leigh, Vivien
Lemmon, Jack
Lorraine, Liotta
MacLaine, Shirley
Marie, Eva
Minnelli, Liza
Monroe, Marilyn
Moreno, Rita
Neeson, Liam
Newman, Paul
Nicholson, Jack
Novak, Kim
O'Toole, Peter
Pacino, Al
Peck, Gregory
Perkins, Anthony
Peter, Stone
Plummer, Christopher
Ray, Niro
Ritter, Thelma
Roberts, Tony
Ross, Katharine
Schwarzenegger, Arnold
Sharif, Omar
Sheen, Charlie
Sheen, Martin
Stewart, James
Streep, Meryl
Taylor, Elizabeth
Voight, Jon
Walker, Robert
Wallace, Dee
Wayne, John
Welles, Orson
Wood, Natalie
York, Michael
